,vendor_X,software_X,title_X,DisplayName0,release_X,Version0,fz_ratio,fz_ptl_ratio,fz_tok_set_ratio,fz_ptl_tok_sort_ratio,fz_uwratio,fz_rel_ratio,fz_rel_ptl_ratio,t_cve_name,titlX_len,DsplyNm0_len,match
0,4you-studio,com_jphone,4you-studio JPhone (com_jphone) component 1.0 Alpha3 for Joomla!,Aura Software Manager 1.0.3,1,-,30,40,100,39,85,0,0,cpe:/a:4you-studio:com_jphone:1.0:alpha3,64,27,1
1,4you-studio,com_jphone,4you-studio JPhone (com_jphone) component 1.0 Alpha4 for Joomla!,Aura Software Manager 1.0.3,1,-,27,40,100,39,85,0,0,cpe:/a:4you-studio:com_jphone:1.0:alpha4,64,27,0
2,4you-studio,com_jphone,4you-studio JPhone (com_jphone) component 1.0 Alpha3 for Joomla!,Aura Video Converter Professional 1.6.0,1,-,34,38,100,43,40,0,0,cpe:/a:4you-studio:com_jphone:1.0:alpha3,64,39,0
3,4you-studio,com_jphone,4you-studio JPhone (com_jphone) component 1.0 Alpha4 for Joomla!,Aura Video Converter Professional 1.6.0,1,-,34,38,100,43,40,0,0,cpe:/a:4you-studio:com_jphone:1.0:alpha4,64,39,0
4,a-pdf,restrictions_remover,A-PDF Restrictions Remover 1.6,A-PDF Number freeware 1.3,1.6,-,51,42,100,47,47,0,0,cpe:/a:a-pdf:restrictions_remover:1.6,30,25,0
5,a-pdf,restrictions_remover,A-PDF Restrictions Remover 1.6,A-PDF Restrictions Remover,1.6,-,92,100,100,91,95,0,0,cpe:/a:a-pdf:restrictions_remover:1.6,30,26,1
6,acronis,true_image_agent,Acronis True Image Agent 9.1.3854,Acronis True Image,9.1.3854,-,51,83,100,57,90,0,0,cpe:/a:acronis:true_image_agent:9.1.3854,33,18,0
7,acronis,true_image_agent,Acronis True Image Agent 9.7.8206,Acronis True Image,9.7.8206,-,51,83,100,57,90,0,0,cpe:/a:acronis:true_image_agent:9.7.8206,33,18,0
8,acronis,true_image_echo_enterprise_server,Acronis True Image Echo Enterprise Server 9.5.8018,Acronis True Image,9.5.8018,-,36,83,100,38,90,0,0,cpe:/a:acronis:true_image_echo_enterprise_server:9.5.8018,50,18,0
9,acronis,true_image_echo_enterprise_server,Acronis True Image Echo Enterprise Server 9.7.8206,Acronis True Image,9.7.8206,-,36,83,100,38,90,0,0,cpe:/a:acronis:true_image_echo_enterprise_server:9.7.8206,50,18,0
