,fz_ptl_ratio,fz_ptl_tok_sort_ratio,fz_ratio,fz_tok_set_ratio,fz_uwratio,pub0_cln,publisher0,ven_cln,vendor_X,match,ven_len,pu0_len
0,100,100,43,35,90,  1337 &amp; senri,1337 &amp; senri ab,133,133,0,3,19
1,50,40,50,40,40,  adsl tv fm,adsl tv / fm,  2g live tv,2g live tv project,0,18,12
2,50,40,34,39,85,  cool tv international,cool tv international,  2g live tv,2g live tv project,0,18,21
3,50,40,56,48,48,  lshunter tv,lshunter.tv,  2g live tv,2g live tv project,0,18,11
4,41,30,42,33,31,  pandora tv,pandora.tv,  2g live tv,2g live tv project,0,18,10
5,50,50,46,45,42,  super tv pro,super tv pro,  2g live tv,2g live tv project,0,18,12
6,41,40,42,40,40,  cool-tv ro,www.cool-tv.ro,  2g live tv,2g live tv project,0,18,14
7,50,30,56,48,48,  vidcreek tv,www.vidcreek.tv,  2g live tv,2g live tv project,0,18,15
8,100,100,75,100,90,  3ivx pty,"3ivx technologies, pty. ltd.",  3ivx,3ivx,1,4,28
9,50,100,50,33,90,  funkyfr3sh,funkyfr3sh,  3s,3s-software,0,11,10
10,100,100,100,100,100,  4t niagara,4t niagara software,  4t niagara,4t-niagara,1,10,19
11,66,100,75,67,90,  aura4you,aura4you.com,  4you,4you-studio,1,11,12
12,66,100,71,62,90,  games4you,games4you,  4you,4you-studio,1,11,9
13,38,36,38,55,52,  ino-co plus,ino-co plus,  7andi fs.co,7andi-fs.co,0,11,11
14,38,45,33,31,85,  piranha bytes distribution ug&amp;co kg,piranha bytes distribution ug&amp;co kg,  7andi fs.co,7andi-fs.co,0,11,39
15,60,100,83,75,90,  77zip,77zip,  zip,7-zip,0,5,5
16,60,100,83,100,90,  7-zip,7-zip,  zip,7-zip,1,5,5
17,60,100,71,60,90,  bullzip,bullzip,  zip,7-zip,0,5,7
18,80,100,45,100,90,  free zip helper,free zip helper,  zip,7-zip,0,5,15
19,80,100,45,33,90,  stefan zipproth,stefan zipproth,  zip,7-zip,0,5,15
20,60,100,67,55,90,  ultrazip,ultrazip,  zip,7-zip,0,5,8
21,60,100,53,40,90,  unzipexpress,unzipexpress,  zip,7-zip,0,5,12
22,60,100,27,18,60,  winzip computing international,"winzip computing international, llc",  zip,7-zip,0,5,35
23,60,100,43,32,90,  winzip computing,"winzip computing, inc.",  zip,7-zip,0,5,22
24,60,100,43,32,90,  winzip computing,"winzip computing, s.l.",  zip,7-zip,0,5,22
25,60,100,25,32,60,  winzip computing winzip computing,"winzip computing, s.l. (winzip computing)",  zip,7-zip,0,5,41
26,60,100,37,26,90,  winzip international,winzip international llc,  zip,7-zip,0,5,24
27,60,100,71,60,90,  wiziple,wiziple,  zip,7-zip,0,5,7
28,60,100,71,60,90,  wiziple,wiziple software,  zip,7-zip,0,5,16
29,30,63,42,52,85,  http://diskcryptor net/,http://diskcryptor.net/,  9.dotpp.net,9.dotpp.net,0,11,23
30,30,63,25,43,85,  http://sourceforge net/projects/album-art,http://sourceforge.net/projects/album-art,  9.dotpp.net,9.dotpp.net,0,11,41
31,30,63,32,43,85,  http://www freebasic net/wiki,http://www.freebasic.net/wiki,  9.dotpp.net,9.dotpp.net,0,11,29
32,46,54,43,50,47,  neo-net forum,"neo-net, forum.",  9.dotpp.net,9.dotpp.net,0,11,15
33,57,58,52,52,85,  code google com/p/simulationcraft,code.google.com/p/simulationcraft,  google map travel,ab google map travel project,0,28,33
34,100,100,56,43,90,  abbey games,abbey games,  abb,abb,0,3,11
35,100,100,83,75,90,  abbyy,abbyy,  abb,abb,0,3,5
36,100,100,43,32,90,  abbyy production,abbyy production llc,  abb,abb,0,3,20
37,100,100,56,43,90,  abbyy house,abbyy software house,  abb,abb,0,3,20
38,60,100,53,40,90,  audiograbber,audiograbber,  abb,abb,0,3,12
39,60,100,53,40,90,  bunny-wabbit,bunny-wabbit,  abb,abb,0,3,12
40,80,100,56,43,90,  gabbergames,gabbergames.com,  abb,abb,0,3,15
41,80,100,50,38,90,  mighty rabbit,mighty rabbit studios,  abb,abb,0,3,21
42,60,100,71,60,90,  netfabb,netfabb gmbh,  abb,abb,0,3,12
43,80,100,59,46,90,  zabbix sia,zabbix sia,  abb,abb,0,3,10
44,100,100,100,100,100,  abbyy,abbyy,  abbyy,abbyy,1,5,5
45,100,100,56,100,90,  abbyy production,abbyy production llc,  abbyy,abbyy,1,5,20
46,100,100,70,100,90,  abbyy house,abbyy software house,  abbyy,abbyy,1,5,20
47,100,100,100,100,100,  abine,abine inc,  abine,abine,1,5,9
48,100,100,69,64,90,  absolutefretboard,absolutefretboard.com,  absolute,absolute,0,8,21
49,60,100,36,25,90,  10tacle publishing ag,10tacle studios publishing ag,  acl,acl,0,3,29
50,60,100,67,55,90,  tentacle,digital tentacle,  acl,acl,0,3,16
51,60,100,77,67,90,  oracle,oracle,  acl,acl,0,3,6
52,60,100,29,19,60,  oracle and/or its affiliates,oracle and/or its affiliates,  acl,acl,0,3,28
53,60,100,77,67,90,  oracle,oracle corporation,  acl,acl,0,3,18
54,60,100,77,67,90,  oracle,oracle corporation.,  acl,acl,0,3,19
55,60,100,59,46,90,  oracle usa,oracle usa,  acl,acl,0,3,10
56,60,100,77,67,90,  oracle,"oracle, inc.",  acl,acl,0,3,12
57,60,100,67,55,90,  pinnacle,pinnacle systems,  acl,acl,0,3,16
58,80,100,50,38,90,  vaclav slavik,vaclav slavik,  acl,acl,0,3,13
59,44,57,23,60,85,  http://corz org/windows/software/checksum/,http://corz.org/windows/software/checksum/,  acm.org,acm.org,0,7,42
60,44,42,19,60,85,  http://www ogre3d org/tikiwiki/ogre meshy,http://www.ogre3d.org/tikiwiki/ogre+meshy,  acm.org,acm.org,0,7,41
61,44,57,31,60,85,  http://www pygtk org/,http://www.pygtk.org/,  acm.org,acm.org,0,7,21
62,100,100,100,100,100,  acquia,"acquia, inc.",  acquia,acquia,1,6,12
63,100,100,100,100,100,  acronis,acronis,  acronis,acronis,1,7,7
64,100,100,100,100,100,  acs,acs,  acs,acs,1,3,3
65,60,100,53,40,90,  flacsquisher,flacsquisher,  acs,acs,0,3,12
66,80,100,77,67,90,  tacacs,tacacs.net,  acs,acs,0,3,10
67,60,100,77,67,90,  xemacs,xemacs development team,  acs,acs,0,3,23
68,60,100,42,33,90,  <no manufacturer>,<no manufacturer>,  act,act,0,3,17
69,80,100,34,24,90,  99bill activex firefox,99bill activex firefox,  act,act,0,3,22
70,60,100,42,30,90,  abstraction games,abstraction games,  act,act,0,3,17
71,100,100,77,100,90,  act-3d,act-3d b.v.,  act,act,1,3,11
72,100,100,53,40,90,  action forms,action forms,  act,act,0,3,12
73,100,100,67,55,90,  actionaz,actionaz.org,  act,act,0,3,12
74,100,100,71,60,90,  actipro,actipro software llc,  act,act,0,3,20
75,100,100,37,26,90,  active data recovery,active data recovery software,  act,act,0,3,29
76,100,100,53,40,90,  activecoupon,activecoupon,  act,act,0,3,12
77,100,100,56,43,90,  activedeals,activedeals,  act,act,0,3,11
78,100,100,48,35,90,  activediscount,activediscount,  act,act,0,3,14
79,100,100,63,50,90,  activepdf,activepdf,  act,act,0,3,9
80,100,100,56,43,90,  activestate,activestate,  act,act,0,3,11
81,100,100,56,43,90,  activestate,activestate corp.,  act,act,0,3,17
82,100,100,56,43,90,  activestate,activestate corporation,  act,act,0,3,23
83,100,100,56,43,90,  activestate,activestate software inc.,  act,act,0,3,25
84,100,100,59,46,90,  activision,activision,  act,act,0,3,10
85,100,100,59,46,90,  activision,"activision, inc.",  act,act,0,3,16
86,100,100,53,40,90,  actual tools,actual tools,  act,act,0,3,12
87,60,100,71,60,90,  alactro,alactro llc,  act,act,0,3,11
88,80,100,42,30,90,  axis game factory,axis game factory,  act,act,0,3,17
89,80,100,42,30,90,  axis game factory,axis game factory llc,  act,act,0,3,21
90,60,100,48,35,90,  clip extractor,clip extractor,  act,act,0,3,14
91,80,100,40,29,90,  codemasters action,codemasters action studio,  act,act,0,3,25
92,60,100,50,38,90,  contactmonkey,contactmonkey,  act,act,0,3,13
93,60,100,56,43,90,  coolfactory,coolfactory,  act,act,0,3,11
94,60,100,53,40,90,  couponfactor,couponfactor,  act,act,0,3,12
95,60,100,37,26,90,  default manufacturer,default manufacturer,  act,act,0,3,20
96,80,100,50,38,90,  sound factory,digital sound factory,  act,act,0,3,21
97,80,100,36,25,90,  double action factory,double action factory,  act,act,0,3,21
98,60,100,50,38,90,  dream reactor,dream reactor llc,  act,act,0,3,17
99,80,100,59,46,90,  dry cactus,dry cactus,  act,act,0,3,10
100,60,100,83,75,90,  exact,exact software,  act,act,0,3,14
101,60,100,59,46,90,  filmimpact,filmimpact.net,  act,act,0,3,14
102,80,100,40,29,90,  fish factory games,fish factory games,  act,act,0,3,18
103,80,100,48,35,90,  format factory,format factory,  act,act,0,3,14
104,60,100,50,38,90,  fractal phase,fractal phase,  act,act,0,3,13
105,60,100,59,46,90,  fractorium,fractorium,  act,act,0,3,10
106,80,100,38,27,90,  free devis factures,free devis factures,  act,act,0,3,19
107,60,100,50,38,90,  galactic cafe,galactic cafe,  act,act,0,3,13
108,80,100,50,38,90,  games faction,games faction,  act,act,0,3,13
109,80,100,42,30,90,  iact umontreal ca,iact.umontreal.ca,  act,act,0,3,17
110,80,100,53,40,90,  idea factory,idea factory,  act,act,0,3,12
111,80,100,53,40,90,  idea factory,"idea factory, inc.",  act,act,0,3,18
112,60,100,63,50,90,  imactools,imactools,  act,act,0,3,9
113,60,100,77,67,90,  impact,impact software,  act,act,0,3,15
114,60,100,56,43,90,  interaction,interaction studios,  act,act,0,3,19
115,60,100,45,33,90,  interactstudios,"interactstudios, llc",  act,act,0,3,20
116,60,100,22,15,60,  kadokawa games grasshopper manufacture,kadokawa games / grasshopper manufacture,  act,act,0,3,40
117,80,100,29,19,60,  kot in action creative artel,kot in action creative artel,  act,act,0,3,28
118,60,100,38,27,90,  labour law contract,labour law contract,  act,act,0,3,19
